target_id,target,sector_label,depth,duration_days,seed,injected_center_days,local_coverage_fraction,recovered,recovered_center_days,recovered_snr,timing_error_days,background_event_count,background_brightening_event_count,control_maximum_snr,snr_above_control,novel_competing_events
tau-ceti,HD 10700,3,0.004,0.08,0,1403.0189898556407,0.9661016949152542,True,1403.020378739775,450.1280189480923,0.0013888841342577507,16,17,27.663322307604968,422.4646966404873,0
tau-ceti,HD 10700,3,0.004,0.08,1,1398.1773177878251,0.9661016949152542,True,1398.1773177878251,454.0921514400708,0.0,16,17,27.663322307604968,426.4288291324658,0
tau-ceti,HD 10700,3,0.004,0.08,2,1402.128714578535,0.9661016949152542,True,1402.128714578535,455.1574505891019,0.0,16,17,27.663322307604968,427.49412828149696,0
tau-ceti,HD 10700,3,0.004,0.08,3,1401.8884372298535,0.9491525423728814,True,1401.8884372298535,446.04015115561305,0.0,16,17,27.663322307604968,418.3768288480081,0
tau-ceti,HD 10700,3,0.004,0.16,0,1402.2078810803494,0.9827586206896551,True,1402.2078810803494,642.353417534325,0.0,16,17,27.663322307604968,614.69009522672,0
tau-ceti,HD 10700,3,0.004,0.16,1,1398.0967616842954,0.9741379310344828,True,1398.0967616842954,633.1794119958048,0.0,16,17,27.663322307604968,605.5160896881998,0
tau-ceti,HD 10700,3,0.004,0.16,2,1402.102325741803,0.9913793103448276,True,1402.102325741803,647.2307451379783,0.0,16,17,27.663322307604968,619.5674228303733,0
tau-ceti,HD 10700,3,0.004,0.16,3,1401.8884372298535,0.9827586206896551,True,1401.8884372298535,637.7712864375079,0.0,16,17,27.663322307604968,610.1079641299029,0
tau-ceti,HD 10700,3,0.008,0.08,0,1403.0189898556407,0.9661016949152542,True,1403.020378739775,903.0282229849212,0.0013888841342577507,16,17,27.663322307604968,875.3649006773162,0
tau-ceti,HD 10700,3,0.008,0.08,1,1398.1773177878251,0.9661016949152542,True,1398.1773177878251,908.2111366030605,0.0,16,17,27.663322307604968,880.5478142954555,0
tau-ceti,HD 10700,3,0.008,0.08,2,1402.128714578535,0.9661016949152542,True,1402.128714578535,909.2802582039764,0.0,16,17,27.663322307604968,881.6169358963714,0
tau-ceti,HD 10700,3,0.008,0.08,3,1401.8884372298535,0.9491525423728814,True,1401.8884372298535,892.2060326644012,0.0,16,17,27.663322307604968,864.5427103567962,0
tau-ceti,HD 10700,3,0.008,0.16,0,1402.2078810803494,0.9827586206896551,True,1402.2078810803494,1283.0860788532366,0.0,16,17,27.663322307604968,1255.4227565456317,0
tau-ceti,HD 10700,3,0.008,0.16,1,1398.0967616842954,0.9741379310344828,True,1398.0967616842954,1268.2909742622248,0.0,16,17,27.663322307604968,1240.62765195462,0
tau-ceti,HD 10700,3,0.008,0.16,2,1402.102325741803,0.9913793103448276,True,1402.102325741803,1293.5887050282863,0.0,16,17,27.663322307604968,1265.9253827206815,0
tau-ceti,HD 10700,3,0.008,0.16,3,1401.8884372298535,0.9827586206896551,True,1401.8884372298535,1277.6495572282925,0.0,16,17,27.663322307604968,1249.9862349206876,0
hd-20794,HD 20794,3,0.004,0.08,0,1402.105650523503,0.9661016949152542,True,1402.1070394234694,473.21330639875026,0.0013888999662867718,8,9,16.59722177549102,456.61608462325927,0
hd-20794,HD 20794,3,0.004,0.08,1,1394.3930545787514,0.9661016949152542,True,1394.394443485705,472.94046597945123,0.0013889069537071919,8,9,16.59722177549102,456.34324420396024,0
hd-20794,HD 20794,3,0.004,0.08,2,1401.944538091058,0.9491525423728814,True,1401.9459269914903,468.17332406186387,0.0013889004324028065,8,9,16.59722177549102,451.5761022863729,0
hd-20794,HD 20794,3,0.004,0.08,3,1401.6237020283486,0.9491525423728814,True,1401.6223131274503,467.00905511060256,0.0013889008982914675,8,9,16.59722177549102,450.41183333511157,0
hd-20794,HD 20794,3,0.004,0.16,0,1402.1320396254287,0.9913793103448276,True,1402.1320396254287,673.0891061114967,0.0,8,9,16.59722177549102,656.4918843360057,0
hd-20794,HD 20794,3,0.004,0.16,1,1396.8041995142316,0.9827586206896551,True,1396.805588424675,667.3173484254479,0.0013889104434383626,8,9,16.59722177549102,650.7201266499569,0
hd-20794,HD 20794,3,0.004,0.16,2,1401.9709271985726,0.9741379310344828,True,1401.9709271985726,665.8994112378191,0.0,8,9,16.59722177549102,649.3021894623281,0
hd-20794,HD 20794,3,0.004,0.16,3,1401.7042582815914,0.9741379310344828,True,1401.702869380693,663.4150759450878,0.0013889008982914675,8,9,16.59722177549102,646.8178541695968,0
hd-20794,HD 20794,3,0.008,0.08,0,1402.105650523503,0.9661016949152542,True,1402.1070394234694,948.0228793408072,0.0013888999662867718,8,9,16.59722177549102,931.4256575653162,0
hd-20794,HD 20794,3,0.008,0.08,1,1394.3930545787514,0.9661016949152542,True,1394.394443485705,948.7523185638809,0.0013889069537071919,8,9,16.59722177549102,932.1550967883899,0
hd-20794,HD 20794,3,0.008,0.08,2,1401.944538091058,0.9491525423728814,True,1401.9459269914903,935.6195032899695,0.0013889004324028065,8,9,16.59722177549102,919.0222815144785,0
hd-20794,HD 20794,3,0.008,0.08,3,1401.6237020283486,0.9491525423728814,True,1401.6223131274503,934.4746169312034,0.0013889008982914675,8,9,16.59722177549102,917.8773951557124,0
hd-20794,HD 20794,3,0.008,0.16,0,1402.1320396254287,0.9913793103448276,True,1402.1320396254287,1349.1416241734785,0.0,8,9,16.59722177549102,1332.5444023979874,0
hd-20794,HD 20794,3,0.008,0.16,1,1396.8041995142316,0.9827586206896551,True,1396.805588424675,1337.4866636990637,0.0013889104434383626,8,9,16.59722177549102,1320.8894419235726,0
hd-20794,HD 20794,3,0.008,0.16,2,1401.9709271985726,0.9741379310344828,True,1401.9709271985726,1331.5794965590273,0.0,8,9,16.59722177549102,1314.9822747835362,0
hd-20794,HD 20794,3,0.008,0.16,3,1401.7042582815914,0.9741379310344828,True,1401.702869380693,1330.4964453766104,0.0013889008982914675,8,9,16.59722177549102,1313.8992236011193,0
hd-69830,HD 69830,7,0.004,0.08,0,1512.7019483180948,0.9661016949152542,True,1512.7019483180948,197.3978870519269,0.0,4,1,5.999674094609749,191.39821295731713,0
hd-69830,HD 69830,7,0.004,0.08,1,1501.9101587311222,0.9661016949152542,True,1501.9115476408529,200.03917543434693,0.00138890973062189,4,1,5.999674094609749,194.03950133973717,0
hd-69830,HD 69830,7,0.004,0.08,2,1512.4380588281026,0.9661016949152542,True,1512.4380588281026,196.860872917957,0.0,4,1,5.999674094609749,190.86119882334725,0
hd-69830,HD 69830,7,0.004,0.08,3,1511.9102793549825,0.9661016949152542,True,1511.9102793549825,198.10062696013733,0.0,4,1,5.999674094609749,192.10095286552757,0
hd-69830,HD 69830,7,0.004,0.16,0,1512.5436146442166,0.9913793103448276,True,1512.5436146442166,279.87869755340506,0.0,4,1,5.999674094609749,273.8790234587953,0
hd-69830,HD 69830,7,0.004,0.16,1,1501.8837694420504,0.9913793103448276,True,1501.8837694420504,282.91648112541657,0.0,4,1,5.999674094609749,276.9168070308068,0
hd-69830,HD 69830,7,0.004,0.16,2,1512.2797250545725,0.9913793103448276,True,1512.2797250545725,281.1281365142193,0.0,4,1,5.999674094609749,275.12846241960955,0
hd-69830,HD 69830,7,0.004,0.16,3,1511.7519453872715,0.9913793103448276,True,1511.7519453872715,281.580625497494,0.0,4,1,5.999674094609749,275.58095140288424,0
hd-69830,HD 69830,7,0.008,0.08,0,1512.7019483180948,0.9661016949152542,True,1512.7019483180948,395.2822233150181,0.0,4,1,5.999674094609749,389.2825492204083,0
hd-69830,HD 69830,7,0.008,0.08,1,1501.9101587311222,0.9661016949152542,True,1501.9115476408529,398.15695262258816,0.00138890973062189,4,1,5.999674094609749,392.1572785279784,0
hd-69830,HD 69830,7,0.008,0.08,2,1512.4380588281026,0.9661016949152542,True,1512.4380588281026,394.73709327223423,0.0,4,1,5.999674094609749,388.7374191776245,0
hd-69830,HD 69830,7,0.008,0.08,3,1511.9102793549825,0.9661016949152542,True,1511.9102793549825,395.7529567067044,0.0,4,1,5.999674094609749,389.75328261209467,0
hd-69830,HD 69830,7,0.008,0.16,0,1512.5436146442166,0.9913793103448276,True,1512.5436146442166,561.7578059468408,0.0,4,1,5.999674094609749,555.758131852231,0
hd-69830,HD 69830,7,0.008,0.16,1,1501.8837694420504,0.9913793103448276,True,1501.8837694420504,565.7947345445516,0.0,4,1,5.999674094609749,559.7950604499418,0
hd-69830,HD 69830,7,0.008,0.16,2,1512.2797250545725,0.9913793103448276,True,1512.2797250545725,563.0114966548155,0.0,4,1,5.999674094609749,557.0118225602057,0
hd-69830,HD 69830,7,0.008,0.16,3,1511.7519453872715,0.9913793103448276,True,1511.7519453872715,563.6438319197001,0.0,4,1,5.999674094609749,557.6441578250904,0
